0
,,,.,.,.,.,.,L(56),L(56),
,,,.,.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,.,
,,,.,L(58),.,.,.,.,.,
,,,.,.,.,.,.,L(57),.,
,,,.,L(58),.,.,L(57),.,.,


68
,,,.,.,.,.,.,L(56),L(56),
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,L(58),.,.,.,.,.,
,,,.,.,.,.,.,L(57),.,
,,,.,L(58),.,.,L(57),.,.,


69
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,L(58),.,.,.,.,.,
,,,.,.,.,.,.,L(57),.,
,,,.,L(58),.,.,L(57),.,.,


70
,,,.,.,.,.,.,.,L(62),
,,,.,.,.,P(61),.,.,L(62),
,,,.,.,.,P(61),.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,P(58),P(58),.,.,.,.,
,,,P(58),.,.,.,L(57),.,.,
,,,P(58),P(58),.,.,L(57),.,.,


71
,,,.,.,.,.,.,.,L(62),
,,,.,.,.,P(61),.,.,L(62),
,,,.,.,.,P(61),.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,P(58),P(58),.,.,.,.,
,,,P(58),.,.,.,L(57),.,.,
,,,P(58),.,.,.,L(57),.,.,


72
,,,.,.,.,.,.,.,L(62),
,,,.,.,.,P(61),.,.,L(62),
,,,.,.,.,P(61),.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,P(58),P(58),.,.,.,.,
,,,.,.,.,.,L(57),.,.,
,,,L(58),.,.,.,L(57),.,.,


73
,,,.,.,.,.,.,.,L(62),
,,,.,.,.,.,.,.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,P(58),P(58),.,.,.,.,
,,,.,.,.,.,L(57),.,.,
,,,L(58),.,.,.,L(57),.,.,


74
,,,.,.,.,.,.,.,L(62),
,,,.,.,.,.,.,.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,L(58),.,.,.,.,
,,,.,.,.,.,L(57),.,.,
,,,L(58),.,.,.,L(57),.,.,


75
,,,.,.,.,P(67),P(67),.,L(62),
,,,P(65),P(65),.,L(68),L(68),.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,P(66),.,.,.,.,.,
,,,.,P(66),L(58),.,.,P(63),P(63),
,,,.,.,.,.,.,.,.,
,,,L(58),.,.,.,P(64),P(64),.,


76
,,,.,.,.,P(67),P(67),.,L(62),
,,,P(65),P(65),.,L(68),L(68),.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,P(66),.,.,.,.,.,
,,,.,P(66),L(58),.,.,P(63),P(63),
,,,.,.,.,.,.,P(64),.,
,,,L(58),.,.,.,P(64),.,.,


77
,,,.,.,.,P(67),P(67),.,L(62),
,,,P(65),P(65),.,L(68),L(68),.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,P(66),.,.,.,.,.,
,,,.,P(66),L(58),.,.,.,.,
,,,.,.,.,.,.,P(64),.,
,,,L(58),.,.,.,P(64),.,.,


78
,,,.,.,.,.,.,.,L(62),
,,,P(65),P(65),.,L(68),L(68),.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,P(66),.,.,.,.,.,
,,,.,P(66),L(58),.,.,.,.,
,,,.,.,.,.,.,P(64),.,
,,,L(58),.,.,.,P(64),.,.,


79
,,,.,.,.,.,.,.,L(62),
,,,.,.,.,L(68),L(68),.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,P(66),.,.,.,.,.,
,,,.,P(66),L(58),.,.,.,.,
,,,.,.,.,.,.,P(64),.,
,,,L(58),.,.,.,P(64),.,.,


80
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,L(62),
,,,.,.,P(58),.,.,.,.,
,,,.,P(58),P(58),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,P(58),.,.,P(69),.,P(64),.,
,,,P(58),.,.,P(69),P(64),.,.,


81
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,L(62),
,,,.,.,P(58),.,.,.,.,
,,,.,P(58),P(58),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(58),.,.,P(69),.,P(64),.,
,,,.,.,.,P(69),P(64),.,.,


82
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,L(62),
,,,.,.,P(58),.,.,.,.,
,,,.,.,P(58),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(58),.,.,P(69),.,P(64),.,
,,,.,.,.,P(69),P(64),.,.,


83
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,.,L(58),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(58),.,.,P(69),.,P(64),.,
,,,.,.,.,P(69),P(64),.,.,


84
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,L(62),
,,,.,.,.,.,.,.,.,
,,,.,.,L(58),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(58),.,.,.,.,P(64),.,
,,,.,.,.,.,P(64),.,.,


85
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,.,
,,,.,.,L(73),L(73),.,.,L(62),
,,,.,.,L(58),.,.,P(72),.,
,,,.,.,.,.,.,P(72),.,
,,,P(58),P(71),.,.,.,P(64),.,
,,,P(58),P(71),.,P(74),P(74),P(64),.,


86
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,.,
,,,.,.,L(73),L(73),.,.,L(62),
,,,.,.,L(58),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,P(58),P(71),.,.,.,P(64),.,
,,,P(58),P(71),.,P(74),P(74),P(64),.,


87
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,.,
,,,.,.,L(73),L(73),.,.,L(62),
,,,.,.,L(58),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,P(58),P(71),.,.,.,.,.,
,,,P(58),P(71),.,P(74),P(74),.,.,


88
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,.,
,,,.,.,L(73),L(73),.,.,L(62),
,,,.,.,L(58),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,P(58),P(71),.,.,.,.,.,
,,,P(58),P(71),.,.,.,.,.,


89
,,,L(70),.,.,.,.,.,L(62),
,,,L(70),.,.,L(68),L(68),.,.,
,,,.,.,L(73),L(73),.,.,L(62),
,,,.,.,L(71),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,P(71),.,.,.,.,.,.,
,,,P(71),P(71),.,.,.,.,.,


90
,,,L(70),.,.,L(68),P(68),.,L(62),
,,,L(70),L(77),L(77),.,P(68),.,.,
,,,.,.,L(73),L(73),P(75),.,L(62),
,,,.,L(76),L(71),.,P(75),.,.,
,,,.,L(76),.,.,.,.,.,
,,,P(71),.,.,.,.,.,.,
,,,P(71),.,.,.,.,L(78),L(78),


91
,,,L(70),.,.,L(68),P(68),.,L(62),
